brand,title,price,final_resale_price,n_likes,limited,model,condition,m_model,material,color,sold_out,description,mean_retail_price
Louis Vuitton,Pochette Accessoire cloth clutch bag,580.81,536.13,50.0,1,pochette,Very good condition,Pochette Accessoire,Cloth,Brown,1.0,,660.0
Louis Vuitton,Neverfull cloth tote,3172.1,3172.1,10.0,1,neverfull,Good condition,Neverfull,Cloth,Brown,1.0,,1510.0
Louis Vuitton,Speedy cloth handbag,892.66,892.66,26.0,1,speedy,Very good condition,Speedy,Cloth,Multicolour,1.0,,1790.0
Louis Vuitton,Pochette Accessoire cloth clutch bag,598.68,598.68,44.0,1,pochette,Never worn,Pochette Accessoire,Cloth,Brown,1.0,,660.0
Louis Vuitton,Alma leather handbag,714.84,623.7,34.0,1,alma,Very good condition,Alma,Leather,Camel,1.0,,1810.0
Louis Vuitton,Neverfull leather handbag,7540.71,7540.71,43.0,1,neverfull,Never worn,Neverfull,Leather,Pink,1.0,,1510.0
Louis Vuitton,Pochette Accessoire cloth clutch bag,535.24,512.9,18.0,1,pochette,"Never worn, with tag",Pochette Accessoire,Cloth,Multicolour,1.0,,660.0
Louis Vuitton,Pochette Accessoire cloth clutch bag,536.13,411.03,48.0,1,pochette,Very good condition,Pochette Accessoire,Cloth,Multicolour,1.0,,660.0
Louis Vuitton,Pochette Accessoire glitter clutch bag,1764.76,1764.76,103.0,1,pochette,Very good condition,Pochette Accessoire,Glitter,Brown,1.0,,660.0
Louis Vuitton,NéoNoé leather crossbody bag,2239.59,2239.59,17.0,1,néonoé,Very good condition,NéoNoé,Leather,Brown,1.0,,1660.0
Louis Vuitton,Pochette Accessoire cloth clutch bag,1830.88,1791.57,125.0,1,pochette,Never worn,Pochette Accessoire,Cloth,Multicolour,1.0,,660.0
Louis Vuitton,Neverfull cloth handbag,1409.26,1409.26,25.0,1,neverfull,Fair condition,Neverfull,Cloth,Brown,1.0,,1070.0
Louis Vuitton,Pochette Accessoire cloth clutch bag,1830.88,1791.57,57.0,1,pochette,Never worn,Pochette Accessoire,Cloth,Multicolour,1.0,,660.0
Louis Vuitton,Speedy cloth handbag,2501.94,2501.94,80.0,1,speedy,Very good condition,Speedy,Cloth,Brown,1.0,,1790.0
Louis Vuitton,Speedy handbag,1192.89,1179.49,27.0,1,speedy,Good condition,Speedy,Synthetic,Other,1.0,,1790.0
